state,symbol,nstate,nsymbol,move
q02,0,q02,0,1
qz2a,0,qz2a,0,-1
q0,0,q0,0,1
q1,0,q1,1,-1
q2,0,q2,0,-1
q3,0,q4,1,-1
q4,0,q4,0,-1
qa,1,qe,1,1
qd,1,qd,1,1
qe,1,qe,1,1
qh,1,q0r,1,-1
q0r,1,q0r,1,-1
q0m,1,q0m,1,1
q0c,1,q0cy,y,-1
q0cx,1,q0cx,1,-1
q0cy,1,q0cy,1,-1
q0b,1,q0b,1,1
q0cf,1,qN,1,-1
q1t,1,q1t,1,-1
q1m,1,q1m,1,1
q1c,1,q1cy,y,-1
q1cx,1,q1cx,1,-1
q1cy,1,q1cy,1,-1
q1b,1,q1b,1,1
q1cf,1,qN,1,-1
q03,1,q03,1,1
qz3a,1,q03b,1,1
q03b,1,q03b,1,1
q03c,1,q03d,0,-1
q03d,1,q03d,1,-1
refill,1,qN,1,-1
q04r,1,q04y,y,-1
q04x,1,q04x,1,-1
q04xr,1,q04b,x,1
q04y,1,q04y,1,-1
q04yr,1,q04b,y,1
q04b,1,qN,1,-1
q04c,1,q04e,1,1
q04d,1,qN,1,-1
q04e,1,q04e,1,1
q04f,1,qN,1,-1
q04g,1,q04g,1,-1
q02,1,q02,1,1
qz2a,1,q0,1,1
q0,1,q0,1,1
q1,1,q2,0,-1
q2,1,q2,1,-1
q3,1,q3,0,-1
q4,1,q4,1,-1
qa,m,qd,m,1
qd,m,qN,b,-1
qe,m,qh,m,1
qh,m,qN,b,-1
q0r,m,q0r,m,-1
q0m,m,q0c,m,-1
q0c,m,qN,m,-1
q0cx,m,qN,m,-1
q0cy,m,qN,m,-1
q0b,m,qN,m,-1
q0cf,m,q1t,m,-1
q1t,m,q1t,m,-1
q1m,m,q1c,m,-1
q1c,m,qN,m,-1
q1cx,m,qN,m,-1
q1cy,m,qN,m,-1
q1b,m,qN,m,-1
q1cf,m,q03,m,1
q03,m,q03,m,1
qz3a,m,qY,d,-1
q03b,m,q03b,m,1
q03c,m,qN,m,-1
q03d,m,q04r,m,-1
refill,m,qN,m,-1
q04r,m,qN,m,-1
q04x,m,qN,m,-1
q04xr,m,qN,m,-1
q04y,m,qN,m,-1
q04yr,m,qN,m,-1
q04b,m,qN,m,-1
q04c,m,qN,m,-1
q04d,m,qN,m,-1
q04e,m,qN,m,-1
q04f,m,q04g,m,-1
q04g,m,qN,m,-1
q02,m,qN,m,-1
qz2a,m,qN,m,-1
q0,m,qN,m,-1
q1,m,qN,m,-1
q2,m,qN,m,-1
q3,m,qN,m,-1
q4,m,qN,m,-1
qa,r,qN,r,-1
qd,r,qN,r,-1
qe,r,qN,r,-1
qh,r,qN,r,-1
q0r,r,qN,r,-1
q0m,r,q0m,r,1
q0c,r,q0cf,r,1
q0cx,r,q0cx,r,-1
q0cy,r,q0cy,r,-1
q0b,r,q0b,r,1
q0cf,r,qN,r,-1
q1t,r,q1t,r,-1
q1m,r,q1m,r,1
q1c,r,q1cf,r,1
q1cx,r,q1cx,r,-1
q1cy,r,q1cy,r,-1
q1b,r,q1b,r,1
q1cf,r,qN,r,-1
q03,r,qN,r,-1
qz3a,r,qN,r,-1
q03b,r,q03b,r,1
q03c,r,qN,r,-1
q03d,r,qN,r,-1
refill,r,qN,r,-1
q04r,r,qN,r,-1
q04x,r,q04xr,r,-1
q04xr,r,qN,r,-1
q04y,r,q04yr,r,-1
q04yr,r,qN,r,-1
q04b,r,q04c,r,1
q04c,r,qN,r,-1
q04d,r,q04d,r,-1
q04e,r,qN,r,-1
q04f,r,q04f,r,1
q04g,r,qz2a,r,-1
q02,r,qz2a,r,-1
qz2a,r,qN,r,-1
q0,r,q1,r,-1
q1,r,qN,r,-1
q2,r,qN,r,-1
q3,r,qN,r,-1
q4,r,qN,r,-1
qa,t,qN,t,-1
qd,t,qN,t,-1
qe,t,qN,t,-1
qh,t,qN,t,-1
q0r,t,qN,t,-1
q0m,t,qN,b,-1
q0c,t,qN,t,-1
q0cx,t,qN,t,-1
q0cy,t,qN,t,-1
q0b,t,qN,t,-1
q0cf,t,qN,t,-1
q1t,t,qN,t,-1
q1m,t,q1m,t,1
q1c,t,qN,t,-1
q1cx,t,q1cx,t,-1
q1cy,t,q1cy,t,-1
q1b,t,q1b,t,1
q1cf,t,qN,t,-1
q03,t,qN,t,-1
qz3a,t,qN,t,-1
q03b,t,qN,t,-1
q03c,t,qN,t,-1
q03d,t,qN,t,-1
refill,t,qN,t,-1
q04r,t,qN,t,-1
q04x,t,qN,t,-1
q04xr,t,qN,t,-1
q04y,t,qN,t,-1
q04yr,t,qN,t,-1
q04b,t,qN,t,-1
q04c,t,qN,t,-1
q04d,t,q04f,t,1
q04e,t,qN,t,-1
q04f,t,q04f,t,1
q04g,t,qN,t,-1
q02,t,qN,t,-1
qz2a,t,q03,t,1
q0,t,qN,t,-1
q1,t,qN,t,-1
q2,t,q3,t,-1
q3,t,qN,t,-1
q4,t,qN,t,-1
qa,x,qN,x,-1
qd,x,qN,x,-1
qe,x,qN,x,-1
qh,x,qN,x,-1
q0r,x,qN,x,-1
q0m,x,qN,b,-1
q0c,x,q0c,x,-1
q0cx,x,qN,x,-1
q0cy,x,qN,x,-1
q0b,x,q0c,x,-1
q0cf,x,q0cf,0,1
q1t,x,qN,x,-1
q1m,x,qN,x,-1
q1c,x,q1c,x,-1
q1cx,x,qN,x,-1
q1cy,x,qN,x,-1
q1b,x,q1c,x,-1
q1cf,x,q1cf,0,1
q03,x,qN,x,-1
qz3a,x,qN,x,-1
q03b,x,qN,x,-1
q03c,x,qN,x,-1
q03d,x,qN,x,-1
refill,x,qN,x,-1
q04r,x,q04r,x,-1
q04x,x,q04x,x,-1
q04xr,x,q04xr,x,-1
q04y,x,q04y,x,-1
q04yr,x,q04yr,x,-1
q04b,x,q04b,x,-1
q04c,x,q04d,x,-1
q04d,x,q04d,x,-1
q04e,x,q04r,x,-1
q04f,x,q04f,0,1
q04g,x,qN,x,-1
q02,x,qN,x,-1
qz2a,x,qN,x,-1
q0,x,qN,x,-1
q1,x,qN,x,-1
q2,x,qN,x,-1
q3,x,qN,x,-1
q4,x,qN,x,-1
qa,y,qN,y,-1
qd,y,qN,y,-1
qe,y,qN,y,-1
qh,y,qN,y,-1
q0r,y,qN,y,-1
q0m,y,qN,b,-1
q0c,y,q0c,y,-1
q0cx,y,qN,y,-1
q0cy,y,qN,y,-1
q0b,y,q0c,y,-1
q0cf,y,q0cf,1,1
q1t,y,qN,y,-1
q1m,y,qN,y,-1
q1c,y,q1c,y,-1
q1cx,y,qN,y,-1
q1cy,y,qN,y,-1
q1b,y,q1c,y,-1
q1cf,y,q1cf,1,1
q03,y,qN,y,-1
qz3a,y,qN,y,-1
q03b,y,qN,y,-1
q03c,y,qN,y,-1
q03d,y,qN,y,-1
refill,y,qN,y,-1
q04r,y,q04r,y,-1
q04x,y,q04x,y,-1
q04xr,y,q04xr,x,-1
q04y,y,q04y,y,-1
q04yr,y,q04yr,x,-1
q04b,y,q04b,y,-1
q04c,y,q04d,y,-1
q04d,y,q04d,y,-1
q04e,y,q04r,y,-1
q04f,y,q04f,1,1
q04g,y,qN,y,-1
q02,y,qN,y,-1
qz2a,y,qN,y,-1
q0,y,qN,y,-1
q1,y,qN,y,-1
q2,y,qN,y,-1
q3,y,qN,y,-1
q4,y,qN,y,-1
qa,b,qN,a,-1
qd,b,qY,b,-1
qe,b,qN,b,-1
qh,b,qN,b,-1
q0r,b,q0m,S,1
q0m,b,qN,b,-1
q0c,b,qN,b,-1
q0cx,b,q0b,S,1
q0cy,b,q0b,S,1
q0b,b,qN,b,-1
q0cf,b,qN,b,-1
q1t,b,q1m,S,1
q1m,b,qN,b,-1
q1c,b,qN,b,-1
q1cx,b,q1b,S,1
q1cy,b,q1b,S,1
q1b,b,qN,b,-1
q1cf,b,qN,b,-1
q03,b,qz3a,b,-1
qz3a,b,qN,b,-1
q03b,b,q03c,E,-1
q03c,b,qN,b,-1
q03d,b,qN,b,-1
refill,b,qN,b,-1
q04r,b,qN,b,-1
q04x,b,qN,b,-1
q04xr,b,qN,b,-1
q04y,b,qN,b,-1
q04yr,b,qN,b,-1
q04b,b,qN,b,-1
q04c,b,qN,b,-1
q04d,b,qN,b,-1
q04e,b,qN,b,-1
q04f,b,qN,b,-1
q04g,b,qN,b,-1
q02,b,qN,b,-1
qz2a,b,qN,b,-1
q0,b,qN,b,-1
q1,b,qN,b,-1
q2,b,qN,b,-1
q3,b,q4,S,1
q4,b,qN,b,-1
